Year,GLD,WTI,CPER,KOL,SP500,CPI,EPU,UST10Y,USDINR,BRENT_diff
2015-03-01,115.85107372561984,54.934710855371904,18.683636614710743,139.03594743884298,2058.0887013305787,236.141173553719,72.9596694214876,1.9596694214876034,62.08876033057851,-17.023308309421484
2015-04-01,115.5999985,50.09000015,18.43000031,132.8999939,2059.689941,236.599,85.27,1.87,62.14,-15.440002449999994
2015-05-01,113.0800018,59.15000153,19.85000038,136.8999939,2108.290039,237.805,37.85,2.12,63.63,9.36000061
2015-06-01,114.0,60.20000076,18.5,126.0999985,2111.72998,238.638,33.34,2.19,63.59,-1.5800018300000005
2015-07-01,111.9800034,56.95999908,17.80999947,112.3000031,2077.419922,238.654,90.8,2.43,63.55,-2.8699989300000013
2015-08-01,110.59000015000001,51.184999465000004,16.624999525,100.700000785,1995.634949,238.2995,91.75999999999999,2.3,64.945,-7.65999794
2015-09-01,109.1999969,45.40999985,15.43999958,89.09999847,1913.849976,237.945,92.72,2.17,66.34,-12.44999695
2015-10-01,106.7300034,44.74000168,15.36999989,79.0,1923.819946,237.838,69.02,2.05,65.57,-1.8700027400000039
2015-11-01,104.46852565245902,43.27131152409836,14.561967021803278,76.71311475409836,2014.6905697213115,237.17073770491803,58.47491803278689,2.1008196721311476,66.0222950819672,-2.5713128229508215
2015-12-01,102.2799988,41.84999847,13.77999973,74.5,2102.629883,236.525,48.27,2.15,66.46,-3.25
2016-01-01,105.16500094999999,36.734999655,13.75,66.700000765,2021.004944,236.81799999999998,115.73499999999999,2.06,67.19,-6.5
2016-02-01,108.0500031,31.62000084,13.72000027,58.90000153,1939.380005,237.111,183.2,1.97,67.92,-9.75
2016-03-01,117.7699966,34.40000153,14.28999996,67.69999695,1978.349976,238.132,49.35,1.83,67.75,1.2700004500000048
2016-04-01,116.9300003,36.79000092,14.40999985,75.30000305,2072.780029,239.261,30.46,1.79,66.34,3.7000007699999955
2016-05-01,116.44311608688524,42.79983570688525,14.085409759836066,77.51311780409836,2085.837430147541,240.12509836065573,39.27803278688525,1.8195081967213116,66.88098360655738,6.822950832295081
2016-06-01,115.9400024,49.00999832,13.75,79.80000305,2099.330078,241.018,48.39,1.85,67.44,10.049999230000005
2016-07-01,128.4100037,48.99000168,14.73999977,94.69999695,2102.949951,240.628,108.22,1.46,67.24,0.13000106999999872
2016-08-01,129.2200012,40.06000137,14.57999992,105.5,2170.840088,240.849,74.99,1.51,66.63,-7.38999939
2016-09-01,125.2900009,43.15999985,13.69999981,105.5999985,2170.860107,241.428,38.52,1.57,66.85,4.5999984799999964
2016-10-01,124.03098573606557,44.88622853196721,14.137704895245902,119.61639568032787,2141.7747942131145,241.39111475409837,41.54950819672131,1.6978688524590164,66.77622950819672,2.967213616065573
2016-11-01,122.7300034,46.66999817,14.59000015,134.1000061,2111.719971,241.353,44.68,1.83,66.7,1.2800025900000023
2016-12-01,111.5400009,51.06000137,17.29999924,130.6000061,2191.080078,241.432,167.88,2.45,68.29,2.1299972500000024
2017-01-01,113.3699989,52.47000122,17.489999775,131.4500046,2235.3150635,242.51749999999998,163.08,2.465,67.845,3.664999009999999
2017-02-01,115.1999969,53.88000107,17.68000031,132.3000031,2279.550049,243.603,158.28,2.48,67.4,5.2000007699999955
2017-03-01,119.0599976,53.83000183,17.75,134.1000061,2395.959961,243.801,111.9,2.46,66.83,-0.06000137999999566
2017-04-01,119.36999790491804,51.294099336885246,17.50606580754098,135.72623408360656,2392.08247947541,244.27463934426228,104.57688524590164,2.3939344262295084,65.51885245901639,-2.1029504870491804
2017-05-01,119.6699982,48.84000015,17.27000046,137.3000031,2388.330078,244.733,97.49,2.33,64.25,-4.079998010000004
2017-06-01,120.7200012,48.36000061,16.85000038,127.6999969,2430.060059,244.955,100.04,2.21,64.39,-1.189998629999998
2017-07-01,120.68557511803279,48.753442859180325,17.69590168,136.89671673606557,2452.8256519508195,245.23237704918034,85.64491803278689,2.234590163934426,64.22770491803279,0.5263937650819674
2017-08-01,120.6500015,49.15999985,18.56999969,146.3999939,2476.350098,245.519,70.77,2.26,64.06,2.2999992399999982
2017-09-01,126.0599976,47.29000092,19.95000076,154.3999939,2476.550049,246.819,57.53,2.16,64.02,-0.31000137999999566
2017-10-01,123.62557284590164,50.737541077377045,20.013934773114755,152.97376739180328,2527.1123726065575,246.74522950819673,62.03983606557377,2.2632786885245904,64.28557377049181,4.253934329836064
2017-11-01,121.1100006,54.29999924,20.07999992,151.5,2579.360107,246.669,66.7,2.37,64.56,8.970001229999994
2017-12-01,121.5899963,58.36000061,19.75,154.3000031,2642.219971,246.524,86.95,2.37,64.5,2.2000007600000018
2018-01-01,124.83000179999999,62.08000183,20.13500023,167.4500046,2732.0999755000003,247.7575,68.36500000000001,2.5749999999999997,64.235,3.8950004550000017
2018-02-01,128.0700073,65.80000305,20.52000046,180.6000061,2821.97998,248.991,49.78,2.78,63.97,5.590000150000002
2018-03-01,124.7200012,60.99000168,19.94000053,171.8000031,2677.669922,249.554,69.3,2.81,65.2,-3.3700027499999976
2018-04-01,124.2067214442623,64.17131230163935,19.64524647229508,161.8393442114754,2666.0475275245904,250.58767213114754,85.85196721311476,2.8913114754098364,65.87081967213115,3.150162119508196
2018-05-01,123.7099991,67.25,19.36000061,152.1999969,2654.800049,251.588,101.87,2.97,66.52,9.459999089999997
2018-06-01,122.4899979,65.80999756,19.64999962,169.1999969,2734.620117,251.989,109.62,2.89,66.99,2.4199981699999995
2018-07-01,118.87524453934427,66.71983662557378,18.489344521639346,166.1508180967213,2773.3447022459018,252.0662131147541,84.0904918032787,2.9440983606557376,67.66868852459017,-0.4127860152459015
2018-08-01,115.1399994,67.66000366,17.29000092,163.0,2813.360107,252.146,57.71,3.0,68.37,-3.339996339999999
2018-09-01,113.83393397868852,71.54262630081968,17.386557595737706,159.59508354262294,2869.8868186557374,252.52155737704916,113.09327868852458,3.0457377049180328,70.68229508196721,3.8103313763934414
2018-10-01,112.5699997,75.30000305,17.47999954,156.3000031,2924.590088,252.885,166.69,3.09,72.92,10.730003359999998
2018-11-01,116.6299973,63.68999863,17.04999924,151.1000061,2740.370117,252.038,84.17,3.14,73.45,-9.480003359999998
2018-12-01,119.19630252826087,60.94108548543478,17.138042865,147.8717422304348,2729.335305695652,252.27865217391306,87.96565217391304,2.996521739130435,72.78478260869565,-10.833263482826085
2019-01-01,121.84815126413044,58.10054190271739,17.2290212775,144.53586956521738,2717.9326673478263,252.52732608695652,91.88782608695652,2.8482608695652174,72.09739130434782,-12.231632276413041
2019-02-01,124.5,55.25999832,17.31999969,141.1999969,2706.530029,252.776,95.81,2.7,71.41,-13.630001069999999
2019-03-01,121.8799973,55.79999924,18.26000023,137.8999939,2803.689941,254.202,110.76,2.76,70.9,3.2000007600000018
2019-04-01,121.5299988,61.59000015,18.29999924,137.6999969,2867.189941,255.548,117.34,2.49,69.18,3.9400024499999944
2019-05-01,120.4000015,63.59999847,17.47999954,134.2449951,2923.72998,256.092,112.75,2.52,69.52,3.1699981699999995
2019-06-01,125.59376873934427,61.30803211065574,17.119180335409837,134.12048939344263,2944.3628166885246,256.3354262295082,144.19213114754098,2.270983606557377,69.18967213114755,-2.059346559836065
2019-07-01,130.6199951,59.09000015,16.77000046,134.0,2964.330078,256.571,174.62,2.03,68.87,-7.120002749999998
2019-08-01,136.4100037,53.95000076,16.45999908,117.8000031,2953.560059,256.558,150.2,1.9,69.0,-4.559997559999999
2019-09-01,138.046397752459,53.78229491196721,16.271966836885248,112.51780388852458,2946.7959306557377,256.9584590163934,106.94229508196722,1.772950819672131,70.07229508196721,-3.0608187821311477
2019-10-01,139.6300049,53.61999893,16.09000015,107.4059982,2940.25,257.346,65.08,1.65,71.11,-1.6100006100000002
2019-11-01,142.5599976,56.20000076,16.67000008,110.3000031,3066.909912,257.208,35.14,1.73,70.76,2.7999992399999982
